127.0.0.1 - - [09/May/2024:23:38:59 +0200] "GET /phpmyadmin/ HTTP/1.1" 200 17984 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:126.0) Gecko/20100101 Firefox/126.0"
127.0.0.1 - - [09/May/2024:23:39:00 +0200] "GET /phpmyadmin/themes/pmahomme/jquery/jquery-ui.css HTTP/1.1" 200 36566 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:126.0) Gecko/20100101 Firefox/126.0"
127.0.0.1 - - [09/May/2024:23:39:00 +0200] "GET /phpmyadmin/js/vendor/codemirror/lib/codemirror.css?v=5.2.1 HTTP/1.1" 200 8720 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:126.0) Gecko/20100101 Firefox/126.0"
127.0.0.1 - - [09/May/2024:23:39:00 +0200] "POST /phpmyadmin/js/vendor/codemirror/addon/lint/lint.css?v=5.2.1 HTTP/1.1" 200 3035 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:126.0) Gecko/20100101 Firefox/126.0"
127.0.0.1 - - [09/May/2024:23:39:00 +0200] "POST /phpmyadmin/js/vendor/codemirror/addon/hint/show-hint.css?v=5.2.1 HTTP/1.1" 200 649 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:126.0) Gecko/20100101 Firefox/126.0"
127.0.0.1 - - [09/May/2024:23:39:00 +0200] "GET /phpmyadmin/themes/pmahomme/css/theme.css?v=5.2.1 HTTP/1.1" 500 357367 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:126.0) Gecko/20100101 Firefox/126.0"
127.0.0.1 - - [09/May/2024:23:39:00 +0200] "GET /phpmyadmin/js/vendor/jquery/jquery.min.js?v=5.2.1 HTTP/1.1" 200 89947 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:126.0) Gecko/20100101 Firefox/126.0"
127.0.0.1 - - [09/May/2024:23:39:00 +0200] "GET /phpmyadmin/js/vendor/jquery/jquery-migrate.min.js?v=5.2.1 HTTP/1.1" 200 13467 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:126.0) Gecko/20100101 Firefox/126.0"
127.0.0.1 - - [09/May/2024:23:39:00 +0200] "GET /phpmyadmin/js/vendor/sprintf.js?v=5.2.1 HTTP/1.1" 200 7409 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:126.0) Gecko/20100101 Firefox/126.0"
127.0.0.1 - - [09/May/2024:23:39:00 +0200] "GET /phpmyadmin/js/dist/ajax.js?v=5.2.1 HTTP/1.1" 200 29948 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:126.0) Gecko/20100101 Firefox/126.0"
::1 - - [20/May/2024:04:29:22 +0200] "POST /phpmyadmin/index.php?route=/navigation&ajax_request=1 HTTP/1.1" 500 2922 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [20/May/2024:04:29:22 +0200] "POST /phpmyadmin/index.php?route=/config/get HTTP/1.1" 200 1518 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [20/May/2024:04:29:22 +0200] "POST /phpmyadmin/index.php?route=/config/get HTTP/1.1" 200 1610 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [20/May/2024:04:29:22 +0200] "GET /phpmyadmin/index.php?route=/recent-table&ajax_request=1&recent_table=1&no_debug=true&_nocache=1716172162802179389&token=69576b75302c6d454852245b69644225 HTTP/1.1" 200 1641 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [20/May/2024:04:29:23 +0200] "POST /phpmyadmin/index.php?route=/config/set HTTP/1.1" 200 1509 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
